year,brand,model,mileage,condition,body_type,color,drive_type,fuel,drive_setup,transmission,interior_type,door_count,star,review_no,date_posted,price
2005,lexus,ls,55,locally used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-05,1850000
2010,toyota,4-runner,150,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-08-27,7200000
2010,bmw,320d,120,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,manual,cloth,4,0,0,2020-08-21,2400000
2002,hyundai,h1,170,foreign used,"buses, taxis and vans",white,4 wheel drive,diesel,lefthand drive,manual,cloth,3,0,0,2020-08-04,1500000
2015,toyota,corolla,17707,foreign used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-07-16,5500000
1999,lexus,rx,193003,foreign used,4 wheel drives & suvs,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-20,2100000
2013,toyota,hilux,64000,locally used,pickups,white,4 wheel drive,petrol,lefthand drive,manual,cloth,4,0,0,2020-07-10,7800000
1998,daihatsu,hijet,90,foreign used,"buses, taxis and vans",blue,2 wheel drive,petrol,lefthand drive,manual,cloth,3,0,0,2020-07-07,950000
2008,honda,cr-v,105,foreign used,4 wheel drives & suvs,green,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-07-13,2800000
2004,honda,accord,178,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,37,2020-08-21,1350000
2009,toyota,sienna,108598,foreign used,"buses, taxis and vans",black,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,4,2020-08-10,2500000
2009,acura,mdx,97000,locally used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-27,2750000
2013,toyota,camry,46000,locally used,saloons,red,2 wheel drive,petrol,lefthand drive,automatic,other,4,5,56,2020-09-03,4400000
2007,toyota,solara,107000,locally used,coupes,brown,2 wheel drive,petrol,lefthand drive,automatic,cloth,2,0,0,2020-08-29,1000000
2005,acura,mdx,90000,locally used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-30,1200000
2011,lexus,es,1,foreign used,saloons,dark grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-25,3500000
2013,toyota,venza,96848,locally used,hatchbacks,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,3,2020-08-31,4500000
2007,mercedes-benz,e350,180000,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-08-12,2200000
2016,mercedes-benz,gle-450,2117,locally used,saloons,white,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-07-30,35000000
2011,toyota,rav4,81685,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,7,2020-07-09,4000000
2006,mitsubishi,spacewagon,293000,locally used,"buses, taxis and vans",silver,4 wheel drive,petrol,lefthand drive,manual,cloth,4,4,1,2020-08-11,1200000
2014,hyundai,elantra,840000,foreign used,saloons,blue,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,2,2020-08-12,3800000
2006,infiniti,fx,180000,locally used,hatchbacks,silver,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-14,1200000
2009,honda,civic,75182,locally used,saloons,blue,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,19,2020-08-10,1400000
2005,toyota,camry,146662,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,56,2020-08-11,1500000
2012,ford,edge,104000,locally used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-07-16,2850000
2010,buick,enclave,13000,locally used,hatchbacks,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-12,5000000
2008,hyundai,elantra,99000,foreign used,saloons,maroon,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,2,2020-08-18,2100000
2015,mercedes-benz,e200,22400,locally used,saloons,brown,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-14,10500000
2010,honda,accord,105000,locally used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-08-21,2200000
2008,honda,cr-v,152493,locally used,4 wheel drives & suvs,red,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-30,1600000
2015,toyota,corolla,76000,locally used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-08-23,3500000
2018,mercedes-benz,gle-350,23700,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-27,17000000
2008,toyota,corolla,142662,locally used,saloons,red,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-08-31,1450000
2015,lexus,rx,44000,foreign used,hatchbacks,white,4 wheel drive,petrol,lefthand drive,automatic,leather,4,5,1,2020-08-22,12000000
2010,lexus,es,95800,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,6,2020-08-18,4200000
2011,mercedes-benz,c300,1900,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-08-29,3500000
2007,toyota,sienna,128000,foreign used,"buses, taxis and vans",maroon,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,4,2020-09-04,2300000
2009,honda,cr-v,2060,foreign used,4 wheel drives & suvs,silver,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,6,2020-08-17,2700000
1999,mercedes-benz,ml-320,172910,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,2,2020-08-19,1500000
2009,honda,accord,80105,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,37,2020-08-30,2200000
2009,toyota,hilux,150000,locally used,pickups,white,4 wheel drive,petrol,lefthand drive,manual,cloth,4,0,0,2020-09-03,3750000
2012,volkswagen,cc,76000,locally used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-08-24,1500000
2006,toyota,tacoma,117000,locally used,pickups,black,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-08-20,4000000
2008,toyota,hiace,,foreign used,"buses, taxis and vans",black,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-09-04,5900000
2009,toyota,hiace,,foreign used,"buses, taxis and vans",silver,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-09-04,4650000
2014,mercedes-benz,gl-450,28000,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-09-06,16499000
2012,isuzu,npr,,foreign used,trucks,white,4 wheel drive,petrol,lefthand drive,automatic,cloth,2,0,0,2020-06-24,11500000
2012,mercedes-benz,c300,,foreign used,saloons,dark blue,2 wheel drive,petrol,lefthand drive,automatic,leather,4,5,2,2020-06-24,5500000
2009,volkswagen,routan,,foreign used,"buses, taxis and vans",white,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-06-24,2800000
2008,mitsubishi,raider,,foreign used,pickups,red,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-06-25,4300000
2010,land-rover,lr4,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-24,7500000
2003,lexus,es-300,,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-24,2200000
2009,volkswagen,beetle,,foreign used,saloons,red,2 wheel drive,petrol,lefthand drive,manual,leather,2,0,0,2020-06-25,1800000
2007,nissan,rogue,,foreign used,4 wheel drives & suvs,grey,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-25,2200000
2005,toyota,corolla,125000,foreign used,saloons,grey,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,5,42,2020-07-25,2050000
2009,mercedes-benz,g550,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-27,20000000
2007,toyota,avalon,,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,cloth,4,4,5,2020-06-26,2500000
2015,chevrolet,silverado,,foreign used,pickups,black,4 wheel drive,petrol,lefthand drive,automatic,cloth,4,0,0,2020-06-26,14500000
2010,land-rover,lr4,,foreign used,4 wheel drives & suvs,gold,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-27,8500000
2000,mercedes-benz,slk-class,,foreign used,coupes,black,2 wheel drive,petrol,lefthand drive,automatic,leather,2,0,0,2020-06-27,1800000
2013,acura,rdx,,foreign used,4 wheel drives & suvs,black,4 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-29,7500000
2008,mercedes-benz,s550,,foreign used,saloons,silver,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-29,7000000
2008,mercedes-benz,clk,,foreign used,convertibles,red,2 wheel drive,petrol,lefthand drive,automatic,leather,2,5,1,2020-06-27,5500000
2010,bmw,550i,,foreign used,saloons,black,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-27,7500000
2006,chrysler,300c,,foreign used,saloons,blue,2 wheel drive,petrol,lefthand drive,automatic,leather,4,0,0,2020-06-30,3000000
